id,nombre,email,password,NoTarjeta,NCuenta,dineroEnCuenta
1,Angel Moreno,cacn20.20@gmail.com,140807,4052185369125789,1-52-0658183237275863,421976.0
2,Mauricio Garcia ,mauriciogarcia@gmail.com,123456,4052256971302578,1-52-1572093237275863,500000.0
3,Giovanny  Molina,Giovanny@gmail.com,1234,4052174822927271,1-52-2496043237275863,136755.0
4,Diego Gamboa,gamboa@gmail.com,120400,4052174822927271,1-52-56812503237275863,65325
5,Angel Ruiz ,ruiz@gmail.com,12365,4052960516793290,1-52-2563478411587263,41252
6,Hector sigala,sigala@gmail.com,175896,4052017625237244,1-52-0653146968075673,78542
7,Daniel Zamarron,xama22@gmail.com,152486,4052262855586753,1-52-7305451731844247,65984
8,Aron Velazquez ,pdvel@gmail.com,123321,4052476391273911,1-52-9850624064496543,25412
9,Christian Hernandez,hernand@gmail.com,125236,4052768886614695,1-52-0375152250203839,32012
10,Juan Guitierrez,jncarlos1210@gmail.com,Juancarlos,4052055184602381,1-52-9012214474589179,87737.0
11,Dana ,Dana123@gmail.com,120400,4052510263060132,1-52-0070162274924394,421535.0
12,Juan Hernandez,hers@gmail.com,153202,4052175083035504,1-52-6092028878171632,34870.0
13,Ximena,xime@gmail.com,15669,4052905236400687,1-52-0332397131827821,58556.0
14,Christian Lizbeth Moreno Ledezma,chrislis984@gmail.com,elmicho1,4052952157507203,1-52-8125712846244728,32277.0
15,pedrito soliz,pedrito123@gmail.com,pedrito123,4052089599565781,1-52-0574276447892245,414.0
16,Carlos sainz,sainz@gmail.com,sainz12315,4052789599565781,1-52-0574276487892245,4143.0
17,aron,aron@hotmail.com,1234,4052532478121860,1-52-0560956278253133,46457.0
18,234567,mishuevos@gmail.com,12345,4052638690607985,1-52-7319928488058867,44314.0
19,Hanna Moreno,hanna123@gmail.com,140809,4052115444961896,1-52-4931310138700814,44839.0
